T0,RMSE_Koop,IAE_Koop,Obj_Koop,RMSE_Strejc,IAE_Strejc,Obj_Strejc
55,2.0039758038109,272.464753079179,365.858046432367,1.87237891626723,296.91300175953,316.177205847665
58,1.25898222114287,172.002181818181,185.066036655864,1.47123734034181,256.003910850439,225.116546378914
60,0.69264460772452,128.336293255131,74.8414931505169,0.722649758905081,147.939394721407,59.0775682766353
62,0.597319496666829,159.421337243401,73.1875907091819,0.797290039535968,225.071319648093,74.6053108000591
66,0.593596909086971,134.624799999999,64.6296782221667,0.690457868135078,182.049581231671,64.8604387849784
68,0.921870066884655,203.834620527859,141.716912864297,1.00886314531168,248.825982404692,143.655714354758
